// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
23901	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.280874	-0.213894	10.351554	0.008996	-0.001013	0.544881	-0.005341	-0.002098	-0.003815	0.157715	0.028809	-0.674561	0.002808	-0.002136	0.103516	0.999999	-0.000027	-0.000010	-0.000019	100246.0000	0.998048	-0.056680	0.026234	0.057227	0.998149	-0.020577	-0.025020	0.022038	0.999444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23902	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.250477	-0.202027	10.388086	-0.021599	0.013207	0.580351	-0.000572	-0.000954	0.007439	0.168213	0.028809	-0.675293	0.002504	-0.002020	0.103881	1.000000	-0.000003	-0.000005	0.000037	100262.0000	0.998052	-0.056606	0.026242	0.057153	0.998153	-0.020585	-0.025029	0.022044	0.999444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23903	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.256548	-0.225895	10.339349	-0.016234	-0.011847	0.532291	-0.001335	-0.003815	-0.003052	0.155029	0.031250	-0.671631	0.002563	-0.002258	0.103394	1.000000	-0.000007	-0.000019	-0.000015	100262.0000	0.998049	-0.056635	0.026281	0.057183	0.998151	-0.020597	-0.025066	0.022060	0.999442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23904	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.256794	-0.201533	10.333156	-0.014452	0.012033	0.525607	0.001526	-0.001335	0.003624	0.165771	0.023926	-0.674805	0.002567	-0.002016	0.103332	1.000000	0.000008	-0.000007	0.000018	100264.0000	0.998051	-0.056599	0.026294	0.057147	0.998154	-0.020583	-0.025080	0.022045	0.999442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23905	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.281142	-0.207881	10.351545	0.008016	0.005942	0.544756	-0.006866	-0.007439	0.004578	0.157715	0.026611	-0.671631	0.002808	-0.002075	0.103516	0.999999	-0.000034	-0.000037	0.000023	100264.0000	0.998051	-0.056551	0.026367	0.057103	0.998155	-0.020653	-0.025151	0.022118	0.999439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23906	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.281809	-0.208295	10.357563	0.008016	0.005329	0.550797	-0.000191	-0.005531	0.002098	0.160400	0.026367	-0.674561	0.002815	-0.002083	0.103576	1.000000	-0.000001	-0.000028	0.000010	100270.0000	0.998051	-0.056529	0.026422	0.057082	0.998156	-0.020655	-0.025206	0.022123	0.999437	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23907	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.275153	-0.231943	10.339342	-0.000715	-0.018218	0.532900	0.000000	-0.009727	0.006866	0.160400	0.031250	-0.674805	0.002747	-0.002319	0.103394	0.999999	0.000000	-0.000049	0.000034	100270.0000	0.998053	-0.056459	0.026518	0.057014	0.998160	-0.020657	-0.025303	0.022129	0.999435	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23908	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.257467	-0.225968	10.296530	-0.016938	-0.012086	0.489519	-0.000572	-0.003433	0.009918	0.160400	0.028809	-0.677490	0.002573	-0.002259	0.102965	0.999999	-0.000003	-0.000017	0.000050	100246.0000	0.998057	-0.056359	0.026550	0.056915	0.998165	-0.020665	-0.025337	0.022136	0.999434	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23909	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.281416	-0.189612	10.333227	0.006374	0.024933	0.526078	-0.007629	-0.012779	0.006104	0.157715	0.028809	-0.674561	0.002808	-0.001892	0.103333	0.999999	-0.000038	-0.000064	0.000031	100246.0000	0.998058	-0.056295	0.026677	0.056856	0.998167	-0.020743	-0.025460	0.022220	0.999429	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23910	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.270239	-0.233275	10.339238	-0.008037	-0.016803	0.532695	-0.009155	-0.008774	0.007439	0.157959	0.024170	-0.674316	0.002698	-0.002328	0.103393	0.999999	-0.000046	-0.000044	0.000037	100264.0000	0.998060	-0.056219	0.026763	0.056784	0.998169	-0.020837	-0.025542	0.022316	0.999425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
