// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
22321	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.280666	-0.202019	10.363760	0.019459	0.011952	0.556816	-0.011444	0.001717	0.006866	0.160156	0.031006	-0.671631	0.002808	-0.002014	0.103638	0.999999	-0.000057	0.000009	0.000034	100262.0000	0.994980	-0.096820	0.025320	0.097353	0.995033	-0.020753	-0.023185	0.023114	0.999464	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22322	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.256004	-0.172511	10.363672	-0.001793	0.044176	0.555487	-0.007057	0.002861	0.005150	0.157715	0.026367	-0.674072	0.002562	-0.001721	0.103637	1.000000	-0.000035	0.000014	0.000026	100264.0000	0.994985	-0.096769	0.025290	0.097303	0.995037	-0.020825	-0.023150	0.023182	0.999463	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22323	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.274762	-0.177327	10.375968	0.015714	0.038499	0.568350	-0.006104	-0.002098	0.006104	0.157715	0.026367	-0.674072	0.002747	-0.001770	0.103760	0.999999	-0.000031	-0.000010	0.000031	100264.0000	0.994991	-0.096708	0.025310	0.097244	0.995041	-0.020888	-0.023165	0.023245	0.999461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22324	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.268951	-0.171706	10.345356	0.010686	0.044086	0.537489	-0.002670	-0.004005	0.001335	0.157959	0.026367	-0.676758	0.002687	-0.001716	0.103454	1.000000	-0.000013	-0.000020	0.000007	100264.0000	0.994991	-0.096694	0.025350	0.097231	0.995042	-0.020915	-0.023202	0.023275	0.999460	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22325	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.244164	-0.220361	10.284410	-0.016989	-0.001607	0.476966	-0.012207	-0.000572	0.005341	0.165527	0.033447	-0.677979	0.002441	-0.002197	0.102844	0.999999	-0.000061	-0.000003	0.000027	100264.0000	0.994996	-0.096640	0.025355	0.097181	0.995044	-0.021038	-0.023196	0.023397	0.999457	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22326	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.281325	-0.215287	10.394170	0.016307	0.002931	0.587504	-0.006294	-0.010872	0.001335	0.155273	0.026367	-0.670898	0.002808	-0.002150	0.103942	1.000000	-0.000031	-0.000054	0.000007	100258.0000	0.994995	-0.096625	0.025463	0.097169	0.995044	-0.021101	-0.023298	0.023470	0.999453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22327	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.286851	-0.189848	10.357655	0.025885	0.028375	0.550607	-0.012207	0.000191	0.004578	0.163086	0.026367	-0.674316	0.002869	-0.001892	0.103577	0.999999	-0.000061	0.000001	0.000023	100258.0000	0.995000	-0.096579	0.025460	0.097127	0.995046	-0.021225	-0.023284	0.023591	0.999450	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22328	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.262644	-0.184932	10.314830	0.002480	0.035512	0.507082	-0.009346	-0.005722	0.007439	0.163086	0.026367	-0.671631	0.002624	-0.001844	0.103148	0.999999	-0.000047	-0.000029	0.000037	100276.0000	0.995006	-0.096504	0.025516	0.097055	0.995051	-0.021320	-0.023332	0.023690	0.999447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22329	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.268700	-0.189487	10.308829	0.008089	0.030609	0.501335	-0.005341	-0.002861	0.002289	0.157715	0.031006	-0.677246	0.002686	-0.001892	0.103088	0.999999	-0.000027	-0.000014	0.000011	100276.0000	0.995007	-0.096480	0.025544	0.097033	0.995052	-0.021374	-0.023355	0.023746	0.999445	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22330	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.293538	-0.201844	10.296530	0.031123	0.014985	0.489946	0.002861	-0.005531	0.002098	0.162842	0.031006	-0.677490	0.002933	-0.002020	0.102965	1.000000	0.000014	-0.000028	0.000010	100268.0000	0.995008	-0.096458	0.025599	0.097012	0.995054	-0.021346	-0.023413	0.023723	0.999444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22331	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.280900	-0.207806	10.302725	0.017789	0.011431	0.495939	-0.005341	-0.002861	0.008392	0.157471	0.033447	-0.677246	0.002808	-0.002075	0.103027	0.999999	-0.000027	-0.000014	0.000042	100268.0000	0.995015	-0.096374	0.025625	0.096930	0.995061	-0.021401	-0.023436	0.023779	0.999443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22332	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.268571	-0.202324	10.369780	0.005466	0.020010	0.562522	-0.004578	0.005150	0.002289	0.160645	0.026367	-0.679932	0.002688	-0.002021	0.103698	1.000000	-0.000023	0.000026	0.000011	100264.0000	0.995019	-0.096352	0.025573	0.096908	0.995062	-0.021448	-0.023381	0.023819	0.999443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22333	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.268585	-0.177552	10.327138	0.008655	0.045082	0.519367	-0.010681	-0.000572	-0.000763	0.160400	0.026367	-0.677002	0.002686	-0.001770	0.103271	0.999999	-0.000053	-0.000003	-0.000004	100264.0000	0.995018	-0.096360	0.025579	0.096918	0.995059	-0.021554	-0.023376	0.023926	0.999440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22334	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.256354	-0.172392	10.290426	-0.002097	0.051010	0.482248	-0.006676	-0.000191	0.004387	0.162842	0.031006	-0.671875	0.002563	-0.001720	0.102904	1.000000	-0.000033	-0.000001	0.000022	100268.0000	0.995022	-0.096316	0.025580	0.096876	0.995062	-0.021622	-0.023371	0.023993	0.999439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22335	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.269134	-0.207597	10.290511	0.005470	0.014802	0.483423	-0.001526	-0.011253	-0.000763	0.157715	0.026367	-0.674072	0.002686	-0.002075	0.102905	0.999999	-0.000008	-0.000056	-0.000004	100268.0000	0.995019	-0.096321	0.025693	0.096884	0.995060	-0.021637	-0.023482	0.024019	0.999436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
